# SpiritVale base-level experience, all 150 levels, from the community client
# datamine at spiritvalers.com/mechanics, July 2026.
#
# Level 150 is the cap: its "to next" is a dash in the source and is written 0
# here. Reaching it costs 4,815,446,173 experience in total.
#
# For comparison with the Ragnarok table this game currently uses: Ragnarok's
# pre-renewal base curve runs to 99 and this one to 150, so the two are not
# directly comparable level for level.
level	toNext	cumulative
1	40	0
2	196	40
3	500	236
4	970	736
5	1620	1706
6	2464	3326
7	3513	5790
8	4777	9303
9	6263	14080
10	7981	20343
11	10007	28324
12	12534	38331
13	15683	50865
14	19544	66548
15	24193	86092
16	29698	110285
17	36120	139983
18	43516	176103
19	51939	219619
20	61439	271558
21	72062	332997
22	83854	405059
23	96858	488913
24	111114	585771
25	126662	696885
26	143541	823547
27	161788	967088
28	181439	1128876
29	202528	1310315
30	225090	1512843
31	249218	1737933
32	275153	1987151
33	303103	2262304
34	333247	2565407
35	365747	2898654
36	400756	3264401
37	438418	3665157
38	478873	4103575
39	522253	4582448
40	568688	5104701
41	618302	5673389
42	671218	6291691
43	727553	6962909
44	787424	7690462
45	850945	8477886
46	918226	9328831
47	989378	10247057
48	1064507	11236435
49	1143718	12300942
50	1227117	13444660
51	1314864	14671777
52	1407330	15986641
53	1504900	17393971
54	1607946	18898871
55	1716827	20506817
56	1831894	22223644
57	1953495	24055538
58	2081968	26009033
59	2217650	28091001
60	2360872	30308651
61	2511963	32669523
62	2671247	35181486
63	2839047	37852733
64	3015681	40691780
65	3201466	43707461
66	3396716	46908927
67	3601743	50305643
68	3816857	53907386
69	4042364	57724243
70	4278572	61766607
71	4525844	66045179
72	4784816	70571023
73	5056234	75355839
74	5340867	80412073
75	5639499	85752940
76	5952924	91392439
77	6281947	97345363
78	6627379	103627310
79	6990037	110254689
80	7370743	117244726
81	7770326	124615469
82	8189616	132385795
83	8629450	140575411
84	9090666	149204861
85	9574106	158295527
86	10080615	167869633
87	10611042	177950248
88	11166236	188561290
89	11747051	199727526
90	12354341	211474577
91	12989023	223828918
92	13652368	236817941
93	14345896	250470309
94	15071245	264816205
95	15830142	279887450
96	16624379	295717592
97	17455812	312341971
98	18326346	329797783
99	19237936	348124129
100	20192578	367362065
101	21192310	387554643
102	22239204	408746953
103	23335366	430986157
104	24482938	454321523
105	25684090	478804461
106	26941022	504488551
107	28255960	531429573
108	29631160	559685533
109	31068902	589316693
110	32571490	620385595
111	34141312	652957085
112	35781216	687098397
113	37494524	722879613
114	39284872	760374137
115	41156140	799659009
116	43112432	840815149
117	45158048	883927581
118	47297468	929085629
119	49535336	976383097
120	51876460	1025918433
121	54325792	1077794893
122	56888432	1132120685
123	59569604	1189009117
124	62374676	1248578721
125	65309128	1310953397
126	68378576	1376262525
127	71588736	1444641101
128	74945448	1516229837
129	78454672	1591175285
130	82122456	1669629957
131	85955016	1751752413
132	89960368	1837707429
133	94153872	1927667797
134	98565376	2021821669
135	103246448	2120387045
136	108277536	2223633493
137	113775176	2331911029
138	119899208	2445686205
139	126859944	2565585413
140	134925408	2692445357
141	144428464	2827370765
142	155774096	2971799229
143	169446576	3127573325
144	186016640	3297019901
145	206148704	3483036541
146	230608064	3689185245
147	260268096	3919793309
148	296117472	4180061405
149	339267296	4476178877
150	0	4815446173
