# SpiritVale monster combat values, all 319, computed July 2026.
#
# NOT transcribed: derived by running the community wiki's own monStats() over
# its published monsters.json. That function is its reverse-engineering of the
# game's Formula.* system, corroborated by the prose tooltip it renders beside
# the numbers. Nothing here is verified against a decompile by us.
#
# The rules, verbatim from the code:
#   slv      = boss ? level*2 : level
#   attr     = max(0, round(combat.<attr> * slv))          six attributes
#   dmf      = boss ? 3 : 1                                 Def/MdefMult boss block
#   def      = round(round(combat.def /10 * level) * dmf)
#   mdef     = round(round(combat.mdef/10 * level) * dmf)
#   defFlat  = round((floor(level/2) + floor(vit/5)) * dmf)
#   mdefFlat = round((floor(level/4) + floor(vit/10) + floor(int/5)) * dmf)
#   hp       = roundSig2( (100 + 10*level + 10*Tri(level)) * (1 + vit/100)
#                         * (boss ? 101 : 1) * (1 + 0.25*clamp01((level-1)/149)) )
#   hit      = floor(level + dex/2)
#   flee     = floor(level + agi/2)
#   exp/coin = boss kills pay 50x; coin = level * 3
#
# The archetype column is a LABEL ONLY. The wiki renders it as a tag and never
# reads it numerically; the multipliers apply straight to level.
#
# NOT derivable, still open: monster ATK (the tooltip says it scales with weapon
# and rank, and no ATK is shown), and the AttackSpeedRanks values behind the
# moveRank / aspdRank columns, which are ranks out of 5.
#
id	name	level	boss	element	race	size	arch	exp	coin	hp	str	vit	agi	dex	int	luk	def	defFlat	mdef	mdefFlat	hit	flee	moveRank	aspdRank	ranged
Devil Bat	Fire Bat	0	0	Fire	Demon	1	Flyer	0	3	120	1	1	2	1	0	1	0	0	0	0	1	2	3	4	0
Devil Hell	Hell Bat	0	0	Fire	Demon	2	Flyer	0	3	120	1	1	2	1	0	1	0	0	0	0	1	2	3	4	0
Devil Hades	Inferno Bat	0	0	Fire	Demon	3	Flyer	0	3	120	1	1	2	1	0	1	0	0	0	0	1	2	3	4	0
Pollen	Pollen	1	0	Neutral	Plant	1	Flyer	27	3	120	1	1	2	1	0	1	0	0	0	0	1	2	3	4	0
Chick	Chick	2	0	Neutral	Beast	1	Critter	58	6	150	2	2	2	2	2	2	0	1	0	0	3	3	2	2	0
Egg	Egg	4	0	Neutral	Formless	1	Egg	132	12	260	2	6	4	4	4	4	0	3	0	1	6	6	0	0	0
Seed	Seedling	5	0	Earth	Plant	2	Plant	175	15	310	5	4	1	8	8	5	1	2	2	2	9	5	0	5	0
Bee	Bee	6	0	Wind	Insect	1	Flyer	222	18	380	5	3	11	5	2	3	1	3	1	1	8	11	3	4	0
Bumble	Bumblebee	7	0	Wind	Insect	2	Flyer	273	21	470	5	4	12	5	2	4	1	3	1	1	9	13	3	4	0
Fledgling	Fledgling	8	0	Neutral	Beast	2	Critter	328	24	580	6	6	6	6	6	6	1	5	0	3	11	11	2	2	0
