# SpiritVale skill database, 226 rows, read from the community client datamine
# at spiritvalers.com (#/skills) in July 2026. Tab-separated.
#
# Columns:
#   id        the engine's own skill id
#   name      display name
#   element   one of the ten, blank on a passive
#   type      Magic | Melee | Ranged | passive
#   target    Enemy | Ally | Self | Any
#   place     Target | Ground | Toggle | (blank = area around the caster)
#   maxLv     1, 2, 3, 5 or 10
#   classes   slash-separated; a skill can belong to several
#   power     a PERCENTAGE of a derived stat: "+100%/lv ATK", "100% +60%/lv ATK",
#             "+300%/lv MATK", "+66.6%/lv ATK+MATK", "100% max HP", "... reflect"
#   hits      packets per cast; may scale ("0 +1/lv", "1 -> 6 (Lv 1-10)")
#   cast      seconds, may scale ("0 +0.8/lv s")
#   cd        seconds, usually FALLS with level ("7 -1/lv s")
#   sp        "base +X/lv SP"
#   applies   statuses and passive bonuses, semicolon-separated
#
# A blank cell means the field is absent, which for a passive is most of them.
id	name	element	type	target	place	maxLv	classes	power	hits	cast	cd	sp	applies
ShadowRelease	Black Blade	Neutral	Ranged	Enemy	Target	10		+100%/lv ATK+MATK		0.5 s	1 s	10 +5/lv SP	
free-cast	Free Cast		passive			5	Mage						+15% +10%/lv Free-cast while moving ; +50% +10%/lv Free-cast while attacking
VolatileBolt	Volatile Bolt	Neutral	Ranged	Enemy	Target	10	Scout	+75%/lv ATK			4 s	10 +5/lv SP	Volatile 5s x5
VenomStrike	Venom Strike	Neutral	Melee	Enemy	Target	5	Rogue/Weaver	100% +20%/lv ATK	2			3 +1/lv SP	Poison 5s 0.5+0.1/lv%
Damnation	Damnation	Holy	Magic	Enemy	Target	5	Priest	+100%/lv ATK+MATK			3 s	20 +10/lv SP	Vulnerability 5s x2/lv ; Magic Exposure 5s x2/lv
NPC_Poison	Gunk Shot	Poison	Ranged	Enemy	Target	5		+100%/lv ATK				7 +3/lv SP	Poison 5s
FieldCurse	Banishment Field	Ghost	Magic	Enemy	Target	5		+100%/lv ATK+MATK	3	0.5 s	2 s	10 +5/lv SP	Curse 10s 0.5+0.1/lv%
Endure	Endure	Neutral	Melee	Self		5	Knight/Weaver					10 SP	Endure 60s/lv
Berserk	Berserk	Neutral	Melee	Self	Toggle	5	Berserker					20 SP	Berserk 1s
SoulStrike	Soul Strike	Ghost	Magic	Enemy	Target	5	Summoner/Weaver	+60%/lv ATK+MATK	0 +1/lv	0.5 s		10 +5/lv SP	
