# SpiritVale status effects, 156 entries, from the community client datamine at
# spiritvalers.com (#/effects), July 2026.
#
# Columns: id, then a pipe-separated record of
#   name | element | effect lines... | "Max stacks: N" | the skills that apply it
#
# Three shapes worth knowing before reading:
#   - A damage-over-time states its own per-tick formula, and they nearly all
#     share one: (Level + STR + AGI + INT) / 10, the engine's status coefficient.
#     Burning adds 3% of max health on top; Rage is 0.1% of max health per stack.
#   - A status is expressed as STATS from the StatType catalog, not as bespoke
#     code: Stun is "Cannot act; Cannot dodge; Cannot block", Blind is
#     "-25% Hit; -25% Flee; -25% Crit Rate".
#   - "Exposure" statuses are elemental-resist debuffs (-4%/lv), and a skill of
#     one element applies the exposure of ANOTHER, which is the party-play hook.
#
# A trailing "-" in the applied-by position means no skill applies it: it comes
# from gear, a grimoire, or a monster.
id	record
Volatile	Volatile | Neutral | Max stacks: 5 | Volatile Bolt
Curse	Curse | Neutral | Healing deals damage; -25% MDEF | Banishment Field | Wide Curse
VenomCoating	Venom Coating | Neutral | On physical hit: applies Poison (5s +1s/lv) - reduced by target resist | Venom | Venom Coating
Poison	Poison | Poison | Damage over time | Deals (Level + STR + AGI + INT) / 10 Poison damage per tick; No MP regen | Tick rate: 1 s | Gunk Shot | Wide Poison | Poison Grenade | Venom Bloom | Venom Strike
Might	Might | Neutral | +1%/stack Damage Melee; +1%/stack Damage Ranged; +1%/stack Damage Magic | Max stacks: 25 | Conviction Aura | Fury Bond | Mighty Roar
Vulnerability	Vulnerability | Neutral | +1%/stack Damage From Melee; +1%/stack Damage From Ranged | Max stacks: 25 | Damnation | Freeze Grenade | Harvest | Jump Shot | Piercing Shot | Shield Bash | Slow Trap | Air Cutter | Impale | Piercing Flurry | Weapon Throw
Decay	Decay | Undead | Damage over time | Deals (Level + STR + AGI + INT) / 10 Undead damage per tick; -1% Healing Received | Tick rate: 1 s | Bone Spear | Death Coil | Death Nova | Death Spiral | Decay Aura
Berserk	Berserk | Neutral | +10/lv Two-hand Stance Bonus; +3 Skill Splash; Immune to knockback; Immune to flinch | Berserk
Endure	Endure | Neutral | Immune to flinch; +1/lv DEF; +1/lv flat DEF; +1/lv MDEF; +1/lv flat MDEF | Endure
Stagger	Stagger | Neutral | Cannot block; -25% DEF | Earth Splitter | Harvest | Shield Bash | Fearsome Cry | Air Cutter
Burning	Burning | Fire | Damage over time | Deals 3% max HP + (Level + STR + AGI + INT) / 10 Fire damage per tick | Tick rate: 1 s | Combustion | Explosive Grenade | Fireball | Fire Pillar | Flame Orb | Meteor | Overload Fire
Bleeding	Bleeding | Neutral | Damage over time | Deals (Level + STR + AGI + INT) / 10 damage per tick; No HP regen | Tick rate: 1 s | Cyclone | Dark Claw | Execute | Bleed Attack | Wide Bleed | Shrapnel
Bloodprice	Bloodprice | Neutral | +10 HP Siphon | -
Stun	Stun | Neutral | Cannot act; Cannot dodge; Cannot block | Bash | Earthquake | Meteor | Pull | Stun Attack | Wide Stun | Fearsome Cry | Smite | Stomp | Twist Of Fate | Wild Charge
Barrier	Sacred Aegis | Neutral | +10 +4/lv Health Barrier | Sacred Aegis
Haste	Haste | Neutral | +25% Move Speed; +2/lv AGI | Haste
Frenzy	Frenzy | Neutral | +5%/lv Atk Speed; +1 Atk Speed Cap | Blood Frenzy | Fanaticism
